label,data
Բաց-կապույտ ծաղիկներ,"Նրա հուղարկավորությանը մի քանի հոգի հազիվ կային․ քույրը՝ Թուրվանտան էր, Թուրվանտայի ամուսինը՝ Փալանճի Գիրգորն էր, ամուսնու եղբայրը՝ Սիմոնն էր, երկու հարևաններ իրենց կանանցով, տերտերը, ժամկոչը, տիրացուն չէր եկել տերտերի կարգադրությամբ, որպեսզի ստացված փողը փոխանակ երեքի՝ երկուսի միջև բաժանեին, իսկ ամուսինը մի տարի առաջ արդեն պառկել էր գերեզմանոցում և կնոջն էր սպասում։"
Բաց-կապույտ ծաղիկներ,Սառային թաղեցին ամուսնու կողքին։
Բաց-կապույտ ծաղիկներ,"Գերեզմանոցի ցանկապատից դուրս չելած՝ տերտերն իր վարձը պահանջեց, իսկ ցանկապատից դուրս բոլորն էլ բաժանվեցին իրարից։"
Բաց-կապույտ ծաղիկներ,Փալանճի Գիրգորն ասաց կնոջը.
Բաց-կապույտ ծաղիկներ,"— Է՛հ, կնիկ, ես երթամ խանութ։"
Բաց-կապույտ ծաղիկներ,Մեռելատուն վերադարձողը միայն Թուրվանտա Քորոն եղավ։
Բաց-կապույտ ծաղիկներ,Մեռելատանը Թուրվանտա Քորոյին սպասում էր հինգ տարեկան որբ մնացած Թորիկը։
Բաց-կապույտ ծաղիկներ,"Երբ Թուրվանտա Քորոն արցունքոտ աչքերով, սև շալը գլխին, մեկ ձեռքը դրած դագաղի վրա՝ դուրս էր գնում, հիշեց Թորիկին, թողեց դագաղը, գնաց ներս, բացեց պահարանը, մի կտոր չոր հաց վերցրեց, տվեց Թորիկին, նստեցրեց դոշակի վրա և ասաց."
Բաց-կապույտ ծաղիկներ,"— Թորի՛կ, ձագու՜կս, էստեղ նստիր, հիմա կուգամ։ "
Բաց-կապույտ ծաղիկներ,Թորիկը հացն առավ ու սկսեց կրծել։ 
Բաց-կապույտ ծաղիկներ,Թուրվանտա Քորոն հասավ դագաղին։
Բաց-կապույտ ծաղիկներ,"Եվ երբ Թուրվանտա Քորոն վերադարձավ թաղումից, Թորիկը հացի կեսը կրծել էր, մնացած կիսովը խաղում էր փիսիկի հետ։ Փիսիկը ցատկում էր, կծում հացի կտորը, Թորիկը քաշում էր, ազատում հացը և ծիծաղում։"
Բաց-կապույտ ծաղիկներ,"Թուրվանտա Քորոն, տեսնելով Թորիկին բոլորովին անգիտակ աշխարհի իր ամենաթանկագին էակից զրկվելու դժբախտության, [ 2 ] ﻿սիրտը նորից փլվեց, թաղման աղիողորմ լացը նորից բարձրացավ սևացած, աղքատ, փոքրիկ և խարխուլ խրճիթում։"
Բաց-կապույտ ծաղիկներ,"Բացի Թուրվանտա Քորոյից, աշխարհում ոչ ոք, բացարձակապես ոչ ոք չկար, որ խնամեր որբին, ուստի Թուրվանտա Քորոն, առանց որևէ որոշում կայացնելու, վերցրեց Թորիկին, փաթաթեց սև շալի մեջ, տարավ տուն, անմիջապես կրակ վառեց, ջուր տաքացրեց, լողացրեց որբին և պառկեցրեց, որ քնի։ Թուրվանտա Քորոն նրա շորը լվաց, փռեց թեժ արևին, չորացրեց, ձեռաց կարկատեց, և երբ որբը զարթեց, հագցրեց և սպասեց ամուսնուն։"
Բաց-կապույտ ծաղիկներ,"Երեկոյան, երբ Փալանճի Գիրգորը տուն եկավ, Թուրվանտա Քորոն գրկեց որբացած մանկան, կանգնեց ամուսնու դեմը և ասաց."
Բաց-կապույտ ծաղիկներ,"— Տանը մեջ փիճ մը ըլլեր կըսեիր՝ իշդե քըզի փիճ, սեպե քի մեջքես ընկեր է։"
Բաց-կապույտ ծաղիկներ,"Քսան տարի էր, ինչ Թուրվանտա Քորոն և Փալանճի Գիրգորն ամուսնացել էին, բայց հակառակ բուռն ջանքերի— մոմ չմնաց սրբերի պատկերների առաջ վառեցին— զավակ չունեցան։"
Բաց-կապույտ ծաղիկներ,"Փալանճի Գիրգորը երկար նայեց Թորիկին, որ հիմար֊հիմար ժպտում էր, խղճահարվեց և քթի տակ, մեծ բեղերի վրա, մի ժուժկալ ժպիտ թափելով՝ վերցրեց մանկանը կնոջ գրկից, համբուրեց և ասաց."
Բաց-կապույտ ծաղիկներ,— Նորեն աստված մեր երեսը հայեցավ։
Բաց-կապույտ ծաղիկներ,— Մենք չըլլեինք նե՝ ի՞նչ տըլլեր։
Բաց-կապույտ ծաղիկներ,"— Կտանեին, կնետեին քուլխանը,— պատասխանեց Փալանճի Գիրգորր։"
Բաց-կապույտ ծաղիկներ,"Թուրվանտա Քորոն նորից լաց եղավ խեղճ, դժբախտ քրոջ վրա, որն արդեն հանգստանում էր գերեզմանոցում, որի վրա փռված էր թթենու մուգ ստվերը։"
Բաց-կապույտ ծաղիկներ,
Բաց-կապույտ ծաղիկներ,"Թե՛ Թուրվանտա Քորոն և թե՛ Փալանճի Գիրգորը Թորիկին սկսեցին սիրել խոր սիրով։ Երկուսն էլ նոր զգացին զավակ չունենալու ողջ ողբերգությունը, և հազիվ մի քանի ամիս անցած՝ նրանց թվում էր, որ ուրիշի տնից չէին բերել նրան, [ 3 ] ﻿այլ իրենց տանն էր ծնվել և մեծացել։ Թորիկն էլ մի զարմանալի երեխա էր՝ ո՛չ լաց էր լինում, ո՛չ չարություններ անում, ուր որ նստեցնեին, այնտեղ էլ մնում էր, իրիկունն ինչպես պառկեցնում էին, առավոտյան այնպես էլ զարթնում էր, տային՝ կուտեր, չտային՝ չէր ուտի։"
Բաց-կապույտ ծաղիկներ,"— Ծո՛, Թորի՛կ,— ձայնում էր Փալանճի Գիրգորը, երբ տուն գար խանութից,— ինտո՞ր ես։"
Բաց-կապույտ ծաղիկներ,"Թորիկը հանգիստ գլուխը դարձնում էր, հայացքը հառում Փալանճի Գիրգորին և ապուշ֊ապուշ ժպտում։"
Բաց-կապույտ ծաղիկներ,"— Աստծու գառն է,— ասում էր Թուրվանտա Քորոն։"
Բաց-կապույտ ծաղիկներ,"— Քչիկ մի կով է,— առարկում էր Փալանճի Գիրգորը։ "
Բաց-կապույտ ծաղիկներ,Թուրվանտա Քորոն խեթ֊խեթ նայում էր ամուսնուն։
Բաց-կապույտ ծաղիկներ,Եվ Թուրվանտա Քորոն նստեցնում էր Թորիկին գետնին՝ փռված մի դոշակի վրա և պատվիրում.
Բաց-կապույտ ծաղիկներ,"— Թորիկ, ղուրբան հոգուդ, ես շուկա երթամ գամ, դուն դոշակի վրա խաղա։"
Բաց-կապույտ ծաղիկներ,"Թուրվանտա Քորոն փակում էր տան դռները, գնում շուկա, և եթե ժամերով էլ չվերադառնար, Թորիկը դոշակի սահմաններից չէր հեռանում։"
Բաց-կապույտ ծաղիկներ,"Փալանճի Գիրգորը մի օր, երբ դիտել տվեց թե՝"
Բաց-կապույտ ծաղիկներ,— Մեջը հեչ կրակ չկա։
Բաց-կապույտ ծաղիկներ,Կինը պատասխանեց.
Բաց-կապույտ ծաղիկներ,"— Էդպես մ՚ըսեր, զաթեն[1] աստված զարկեր է գլխուն, որբ է։"
